|Club Atlético de Madrid| |17| |8| |23| |1| |76| |73| |23| |82| |157| |392| |46%|
|Real Madrid CF| |28| |6| |24| |0| |94| |99| |31| |88| |142| |453| |54%|
|FC Bayern München| |30| |11| |20| |1| |105| |95| |31| |88| |135| |519| |67%|
|Manchester City FC| |18| |12| |15| |0| |51| |73| |16| |61| |156| |354| |48%|
|FC Barcelona| |22| |8| |23| |0| |62| |60| |31| |60| |108| |404| |65%|
|SL Benfica| |15| |12| |29| |1| |54| |47| |15| |36| |137| |291| |50%|
|Paris Saint-Germain| |18| |6| |22| |0| |55| |52| |47| |57| |117| |380| |60%|
|VfL Wolfsburg| |15| |11| |18| |0| |48| |52| |22| |37| |105| |308| |48%|
|Arsenal FC| |13| |15| |17| |1| |42| |32| |25| |45| |85| |221| |45%|
|Chelsea FC| |15| |7| |15| |0| |48| |35| |23| |42| |114| |227| |49%|
|FC Dynamo Kyiv| |9| |7| |18| |0| |37| |37| |19| |41| |133| |252| |52%|
|KAA Gent| |10| |11| |18| |2| |40| |23| |16| |35| |128| |256| |53%|
|Juventus| |10| |9| |14| |1| |45| |52| |15| |34| |106| |218| |43%|
|PSV Eindhoven| |8| |7| |22| |2| |28| |26| |23| |25| |100| |264| |49%|
|AS Roma| |11| |20| |10| |0| |43| |39| |14| |41| |89| |214| |44%|
|FC Zenit| |14| |9| |27| |2| |37| |30| |33| |34| |124| |205| |44%|
|FC Astana| |5| |11| |12| |0| |25| |39| |11| |22| |77| |151| |43%|
|FC BATE Borisov| |5| |12| |18| |0| |16| |11| |12| |6| |82| |140| |38%|
|PFC CSKA Moskva| |5| |9| |10| |0| |18| |18| |7| |24| |53| |145| |40%|
|GNK Dinamo Zagreb| |3| |14| |15| |1| |16| |22| |16| |24| |72| |148| |42%|
|Galatasaray AŞ| |6| |10| |13| |0| |29| |37| |12| |29| |71| |176| |49%|
|Bayer 04 Leverkusen| |13| |12| |12| |1| |42| |28| |19| |21| |86| |184| |53%|
|Olympique Lyonnais| |5| |9| |15| |1| |32| |44| |14| |41| |98| |190| |54%|
|Maccabi Tel-Aviv FC| |1| |16| |14| |1| |12| |28| |15| |18| |80| |150| |43%|
|Malmö FF| |1| |21| |14| |2| |17| |20| |8| |19| |71| |130| |35%|
|Manchester United FC| |7| |7| |11| |0| |34| |24| |26| |37| |76| |206| |59%|
|VfL Borussia Mönchengladbach| |8| |12| |11| |0| |31| |31| |5| |24| |78| |175| |48%|
|Olympiacos FC| |6| |13| |12| |0| |24| |33| |7| |30| |65| |148| |43%|
|FC Porto| |9| |8| |13| |0| |29| |32| |10| |43| |87| |185| |53%|
|Sevilla FC| |8| |11| |7| |0| |23| |33| |18| |38| |55| |194| |54%|
|FC Shakhtar Donetsk| |7| |14| |17| |1| |25| |34| |23| |36| |68| |200| |54%|
|Valencia CF| |5| |9| |18| |1| |21| |34| |25| |49| |88| |182| |51%|
